x-axis,F1
Hertz,dBV
+16.0000E+00,-62.95762E+00
+16.5000E+00,-64.81720E+00
+17.0000E+00,-66.67678E+00
+17.5000E+00,-68.53637E+00
+18.0000E+00,-70.39595E+00
+18.5000E+00,-72.25554E+00
+19.0000E+00,-74.11512E+00
+19.5000E+00,-73.22929E+00
+20.0000E+00,-71.87045E+00
+20.5000E+00,-70.51160E+00
+21.0000E+00,-69.15275E+00
+21.5000E+00,-67.98076E+00
+22.0000E+00,-68.82914E+00
+22.5000E+00,-69.67752E+00
+23.0000E+00,-70.52591E+00
+23.5000E+00,-71.37429E+00
+24.0000E+00,-71.68666E+00
+24.5000E+00,-70.84033E+00
+25.0000E+00,-69.99399E+00
+25.5000E+00,-69.14766E+00
+26.0000E+00,-68.30132E+00
+26.5000E+00,-68.10806E+00
+27.0000E+00,-68.45366E+00
+27.5000E+00,-68.79926E+00
+28.0000E+00,-69.14486E+00
+28.5000E+00,-69.49046E+00
+29.0000E+00,-70.17971E+00
+29.5000E+00,-70.96614E+00
+30.0000E+00,-71.75257E+00
+30.5000E+00,-72.53900E+00
+31.0000E+00,-73.29897E+00
+31.5000E+00,-71.71586E+00
+32.0000E+00,-70.13276E+00
+32.5000E+00,-68.54966E+00
+33.0000E+00,-66.96655E+00
+33.5000E+00,-66.06965E+00
+34.0000E+00,-67.31279E+00
+34.5000E+00,-68.55593E+00
+35.0000E+00,-69.79906E+00
+35.5000E+00,-71.04220E+00
+36.0000E+00,-71.45678E+00
+36.5000E+00,-70.95348E+00
+37.0000E+00,-70.45019E+00
+37.5000E+00,-69.94689E+00
+38.0000E+00,-69.44360E+00
+38.5000E+00,-70.89240E+00
+39.0000E+00,-73.15390E+00
+39.5000E+00,-75.41541E+00
+40.0000E+00,-77.67691E+00
+40.5000E+00,-79.93842E+00
+41.0000E+00,-77.66495E+00
+41.5000E+00,-75.09011E+00
+42.0000E+00,-72.51526E+00
+42.5000E+00,-69.94041E+00
+43.0000E+00,-68.26997E+00
+43.5000E+00,-71.03682E+00
+44.0000E+00,-73.80367E+00
+44.5000E+00,-76.57052E+00
+45.0000E+00,-79.33736E+00
+45.5000E+00,-80.17621E+00
+46.0000E+00,-78.13436E+00
+46.5000E+00,-76.09250E+00
+47.0000E+00,-74.05064E+00
+47.5000E+00,-72.00879E+00
+48.0000E+00,-72.28361E+00
+48.5000E+00,-73.90409E+00
+49.0000E+00,-75.52457E+00
+49.5000E+00,-77.14505E+00
+50.0000E+00,-78.76553E+00
+50.5000E+00,-77.71129E+00
+51.0000E+00,-76.23673E+00
+51.5000E+00,-74.76217E+00
+52.0000E+00,-73.28761E+00
+52.5000E+00,-71.95386E+00
+53.0000E+00,-71.94874E+00
+53.5000E+00,-71.94362E+00
+54.0000E+00,-71.93850E+00
+54.5000E+00,-71.93338E+00
+55.0000E+00,-72.26659E+00
+55.5000E+00,-73.29468E+00
+56.0000E+00,-74.32278E+00
+56.5000E+00,-75.35087E+00
+57.0000E+00,-76.37897E+00
+57.5000E+00,-76.79506E+00
+58.0000E+00,-76.72850E+00
+58.5000E+00,-76.66194E+00
+59.0000E+00,-76.59538E+00
+59.5000E+00,-76.52882E+00
+60.0000E+00,-76.10762E+00
+60.5000E+00,-75.59255E+00
+61.0000E+00,-75.07748E+00
+61.5000E+00,-74.56240E+00
+62.0000E+00,-74.08169E+00
+62.5000E+00,-75.10467E+00
+63.0000E+00,-76.12764E+00
+63.5000E+00,-77.15062E+00
+64.0000E+00,-78.17359E+00
+64.5000E+00,-78.76214E+00
+65.0000E+00,-78.07452E+00
+65.5000E+00,-77.38690E+00
+66.0000E+00,-76.69929E+00
+66.5000E+00,-76.01167E+00
+67.0000E+00,-75.46627E+00
+67.5000E+00,-75.07152E+00
+68.0000E+00,-74.67677E+00
+68.5000E+00,-74.28201E+00
+69.0000E+00,-73.88726E+00
+69.5000E+00,-74.82808E+00
+70.0000E+00,-76.29548E+00
+70.5000E+00,-77.76287E+00
+71.0000E+00,-79.23026E+00
+71.5000E+00,-80.69765E+00
+72.0000E+00,-78.64096E+00
+72.5000E+00,-76.39430E+00
+73.0000E+00,-74.14765E+00
+73.5000E+00,-71.90099E+00
+74.0000E+00,-70.38204E+00
+74.5000E+00,-72.16738E+00
+75.0000E+00,-73.95272E+00
+75.5000E+00,-75.73807E+00
+76.0000E+00,-77.52341E+00
+76.5000E+00,-78.06175E+00
+77.0000E+00,-76.82117E+00
+77.5000E+00,-75.58059E+00
+78.0000E+00,-74.34002E+00
+78.5000E+00,-73.09944E+00
+79.0000E+00,-73.83709E+00
+79.5000E+00,-75.66953E+00
+80.0000E+00,-77.50198E+00
+80.5000E+00,-79.33443E+00
+81.0000E+00,-81.16688E+00
+81.5000E+00,-79.18704E+00
+82.0000E+00,-76.66442E+00
+82.5000E+00,-74.14180E+00
