x-axis,F1
Hertz,dBV
+16.0000E+00,-58.89676E+00
+16.5000E+00,-58.61056E+00
+17.0000E+00,-58.32435E+00
+17.5000E+00,-58.03814E+00
+18.0000E+00,-57.75193E+00
+18.5000E+00,-57.46572E+00
+19.0000E+00,-57.17952E+00
+19.5000E+00,-57.13308E+00
+20.0000E+00,-57.12796E+00
+20.5000E+00,-57.12284E+00
+21.0000E+00,-57.11772E+00
+21.5000E+00,-57.08547E+00
+22.0000E+00,-56.75984E+00
+22.5000E+00,-56.43421E+00
+23.0000E+00,-56.10857E+00
+23.5000E+00,-55.78294E+00
+24.0000E+00,-55.73503E+00
+24.5000E+00,-56.28748E+00
+25.0000E+00,-56.83993E+00
+25.5000E+00,-57.39238E+00
+26.0000E+00,-57.94483E+00
+26.5000E+00,-57.87449E+00
+27.0000E+00,-57.29030E+00
+27.5000E+00,-56.70611E+00
+28.0000E+00,-56.12192E+00
+28.5000E+00,-55.53773E+00
+29.0000E+00,-54.71087E+00
+29.5000E+00,-53.81538E+00
+30.0000E+00,-52.91989E+00
+30.5000E+00,-52.02440E+00
+31.0000E+00,-51.11493E+00
+31.5000E+00,-48.96709E+00
+32.0000E+00,-46.81925E+00
+32.5000E+00,-44.67141E+00
+33.0000E+00,-42.52357E+00
+33.5000E+00,-40.61528E+00
+34.0000E+00,-39.45406E+00
+34.5000E+00,-38.29284E+00
+35.0000E+00,-37.13163E+00
+35.5000E+00,-35.97041E+00
+36.0000E+00,-35.08392E+00
+36.5000E+00,-34.50178E+00
+37.0000E+00,-33.91964E+00
+37.5000E+00,-33.33749E+00
+38.0000E+00,-32.75535E+00
+38.5000E+00,-32.57194E+00
+39.0000E+00,-32.55453E+00
+39.5000E+00,-32.53712E+00
+40.0000E+00,-32.51971E+00
+40.5000E+00,-32.50231E+00
+41.0000E+00,-32.95683E+00
+41.5000E+00,-33.44272E+00
+42.0000E+00,-33.92861E+00
+42.5000E+00,-34.41449E+00
+43.0000E+00,-35.02565E+00
+43.5000E+00,-36.25137E+00
+44.0000E+00,-37.47710E+00
+44.5000E+00,-38.70283E+00
+45.0000E+00,-39.92856E+00
+45.5000E+00,-41.58127E+00
+46.0000E+00,-43.87196E+00
+46.5000E+00,-46.16265E+00
+47.0000E+00,-48.45333E+00
+47.5000E+00,-50.74402E+00
+48.0000E+00,-52.71375E+00
+48.5000E+00,-54.49705E+00
+49.0000E+00,-56.28034E+00
+49.5000E+00,-58.06364E+00
+50.0000E+00,-59.84693E+00
+50.5000E+00,-59.94398E+00
+51.0000E+00,-59.77605E+00
+51.5000E+00,-59.60811E+00
+52.0000E+00,-59.44017E+00
+52.5000E+00,-59.45588E+00
+53.0000E+00,-61.20436E+00
+53.5000E+00,-62.95284E+00
+54.0000E+00,-64.70132E+00
+54.5000E+00,-66.44980E+00
+55.0000E+00,-67.60394E+00
+55.5000E+00,-67.53738E+00
+56.0000E+00,-67.47082E+00
+56.5000E+00,-67.40426E+00
+57.0000E+00,-67.33770E+00
+57.5000E+00,-67.28917E+00
+58.0000E+00,-67.25487E+00
+58.5000E+00,-67.22056E+00
+59.0000E+00,-67.18626E+00
+59.5000E+00,-67.15195E+00
+60.0000E+00,-66.88932E+00
+60.5000E+00,-66.56625E+00
+61.0000E+00,-66.24317E+00
+61.5000E+00,-65.92010E+00
+62.0000E+00,-65.61405E+00
+62.5000E+00,-66.05283E+00
+63.0000E+00,-66.49162E+00
+63.5000E+00,-66.93040E+00
+64.0000E+00,-67.36919E+00
+64.5000E+00,-67.74595E+00
+65.0000E+00,-67.94051E+00
+65.5000E+00,-68.13507E+00
+66.0000E+00,-68.32963E+00
+66.5000E+00,-68.52419E+00
+67.0000E+00,-68.40051E+00
+67.5000E+00,-67.93971E+00
+68.0000E+00,-67.47891E+00
+68.5000E+00,-67.01811E+00
+69.0000E+00,-66.55731E+00
+69.5000E+00,-66.45161E+00
+70.0000E+00,-66.48591E+00
+70.5000E+00,-66.52021E+00
+71.0000E+00,-66.55452E+00
+71.5000E+00,-66.58882E+00
+72.0000E+00,-65.06027E+00
+72.5000E+00,-63.44747E+00
+73.0000E+00,-61.83467E+00
+73.5000E+00,-60.22187E+00
+74.0000E+00,-58.61581E+00
+74.5000E+00,-57.04039E+00
+75.0000E+00,-55.46496E+00
+75.5000E+00,-53.88954E+00
+76.0000E+00,-52.31412E+00
+76.5000E+00,-51.19382E+00
+77.0000E+00,-50.72278E+00
+77.5000E+00,-50.25174E+00
+78.0000E+00,-49.78070E+00
+78.5000E+00,-49.30966E+00
+79.0000E+00,-49.08614E+00
+79.5000E+00,-48.99962E+00
+80.0000E+00,-48.91309E+00
+80.5000E+00,-48.82656E+00
+81.0000E+00,-48.74003E+00
+81.5000E+00,-49.26035E+00
+82.0000E+00,-49.86707E+00
+82.5000E+00,-50.47379E+00
+83.0000E+00,-51.08051E+00
+83.5000E+00,-51.71413E+00
+84.0000E+00,-52.57224E+00
+84.5000E+00,-53.43035E+00
+85.0000E+00,-54.28846E+00
+85.5000E+00,-55.14658E+00
+86.0000E+00,-56.17009E+00
+86.5000E+00,-57.51665E+00
+87.0000E+00,-58.86321E+00
+87.5000E+00,-60.20977E+00
+88.0000E+00,-61.55633E+00
+88.5000E+00,-62.14056E+00
+89.0000E+00,-62.15029E+00
+89.5000E+00,-62.16001E+00
+90.0000E+00,-62.16974E+00
+90.5000E+00,-62.17947E+00
+91.0000E+00,-61.74456E+00
+91.5000E+00,-61.19979E+00
+92.0000E+00,-60.65502E+00
+92.5000E+00,-60.11025E+00
+93.0000E+00,-59.49168E+00
+93.5000E+00,-56.74429E+00
+94.0000E+00,-53.99690E+00
+94.5000E+00,-51.24950E+00
+95.0000E+00,-48.50211E+00
+95.5000E+00,-46.19021E+00
+96.0000E+00,-45.08531E+00
+96.5000E+00,-43.98041E+00
+97.0000E+00,-42.87552E+00
+97.5000E+00,-41.77062E+00
+98.0000E+00,-41.23317E+00
+98.5000E+00,-41.27054E+00
+99.0000E+00,-41.30792E+00
+99.5000E+00,-41.34529E+00
+100.0000E+00,-41.38267E+00
+100.5000E+00,-42.13646E+00
+101.0000E+00,-43.15739E+00
+101.5000E+00,-44.17832E+00
+102.0000E+00,-45.19924E+00
+102.5000E+00,-46.22017E+00
+103.0000E+00,-46.49299E+00
+103.5000E+00,-46.73465E+00
+104.0000E+00,-46.97632E+00
+104.5000E+00,-47.21798E+00
+105.0000E+00,-47.14771E+00
+105.5000E+00,-45.76172E+00
+106.0000E+00,-44.37574E+00
+106.5000E+00,-42.98975E+00
+107.0000E+00,-41.60377E+00
+107.5000E+00,-41.62906E+00
+108.0000E+00,-43.57722E+00
+108.5000E+00,-45.52538E+00
+109.0000E+00,-47.47354E+00
+109.5000E+00,-49.42170E+00
+110.0000E+00,-46.99805E+00
+110.5000E+00,-42.27076E+00
+111.0000E+00,-37.54346E+00
+111.5000E+00,-32.81617E+00
+112.0000E+00,-28.08887E+00
+112.5000E+00,-25.64608E+00
+113.0000E+00,-23.49568E+00
+113.5000E+00,-21.34528E+00
+114.0000E+00,-19.19488E+00
